channel1,channel2,channel3,channel4
353.5983347,354.942707,0.245676329,0.05041314
330.46105368400003,339.1086074,1.705816197,0.999981229
73.22349347,75.26857429,0.413704157,0.610456221
359.89724974800004,397.0717413,8.870010567,0.998112317
35.864971591999996,360.56046772699995,181.7294547,0.322241915
0,0,0,0
336.89150691599997,336.89150691599997,0.047299785,0.201198417
244.98859587400003,260.1286451,3.284710595,0.929186733
129.6551219,132.6913295,1.3653198198899998,0.780795204
150.49241928200001,151.4830711,0.421325572,0.96808205
180.4460994,182.81773035700002,0.983991459,0.999972633
196.6531626,196.7717426,0.052250311,0.989397875
346.5654468,351.7602469,1.74726884,0.578431444
329.0025618,338.92130507400003,4.967505978,0.329745121
218.6871471,218.6871471,0,0.964534722
238.4526676,238.4794825,0.018960991,0.989800013
66.55149209449999,73.61612527,2.210563655,0.5828830630080001
234.26320215200002,239.1536222,1.850300845,0.903642052
62.133183699499995,365.15803785300005,116.189428,0.998301852
216.4199601,217.32449722299998,0.639604328,0.99715201
290.6124642,305.3174209,6.330849984,0.761913388
37.78568196,38.13315105,0.177155842,0.339335164
209.057682,210.4263384,0.452031579,0.9653315
123.7868904,125.18670686200001,0.355015942,0.885836771
62.69672479,69.19591679,1.7228553654599998,0.538070382
332.9658033,332.9658033,0.190480015,0.281466687
381.39846228199997,381.39846228199997,103.68180922399999,0.958244699
275.3719393,306.77687848200003,22.206645474600002,0.977050842
201.90475707099998,208.3660581,1.393599688,0.991817331
0,0,0,0
48.6610991,55.41727131,3.437565122,0.458173726
256.1269555,285.1143091,16.195730900999994,0.953037824
99.85882551629999,110.0244887,2.112743144,0.7775020689759999
166.19553008100002,308.5968761,62.91608008,0.955201995
0,0,0,0
70.63970244,74.83758481,1.1360354,0.595625363
294.67527968900004,294.7819093,0.075398493,0.670535992
299.9953265,299.9953265,4.454998484,0.976778155
184.73570158099997,194.0144522,4.010609095,0.953692188
72.16403009,165.1818254,36.14616917,0.690474247
0,0,0,0
0,0,0,0
90.98783675530001,91.2476049,0.104032943,0.701652309
138.6594793,142.8928095,1.525002467,0.871737799
99.65097971,99.89829310440001,0.066724829,0.764436677
79.41078303,81.91418765,0.709068949,0.63966598
88.26438275059998,89.11032960690002,0.425881971,0.626917415
56.08737819,56.08737819,0.222392492,0.677349904
0,0,0,0
360.976991,368.4120204,3.2152585544200005,0.934641916
155.28136076200002,155.28144834399998,3.35371208622e-05,0.976823582
92.41597218049999,92.41597218049999,2.05871844,0
118.7050333,151.7296672,9.418807516,0.866940297
43.02140936,43.16649647,0.054329093,0.366752406
233.3312172,276.1493175,17.573158581199998,0.983560663
353.8213379,355.2446387,0.317042612,0.048798784
237.09418625599997,245.3032886,5.804711932,0.8026518307699999
108.6116731,119.57417325700001,3.214612964,0.763804182
332.1238343,332.3932137,0.190480015,0.260536731
207.60211259099998,207.60211259099998,14.74619107,0.921007899
316.9781907,319.60409650099996,0.7598838341769999,0.389736272
323.1479848,323.1479848,4.250735108,0.8036436371760001
319.8946604,320.2099007,0.14938646892100002,0.8208885363689999
200.5829334,200.621832,0.013557557378200002,0.971980987
224.45443571599998,224.9517486,0.168965322,0.964560692
283.48487598099996,283.48487598099996,0.161450056,0.68870218
204.26376632900002,262.828999,33.51217793,0.907016684
0,0,0,0
138.7963041,138.7991266,0.001084234,0.936516746
32.30750996,32.30830389,0.000196506,0.278266178
348.9713537,348.9714157,1.59687589686e-05,0.096455134
125.6771784,125.6771784,4.800758591,0
157.6993179,157.6993179,0.342177464,0.936076317
198.35734425599998,210.5729051,5.512916789249999,0.99951888
263.60908534099997,265.7053443,0.6229193955110001,0.746311433
148.07892816700002,164.3170162,3.18053373,0.963086748
48.46239187,55.017388277799995,4.635082408,0.366817452
321.1097241,321.1097241,11.7095837,0.6770795421529999
332.2402801,362.0113442,11.7095837,0.6896233554060001
246.4847064,261.5351215,2.573470898,0.925973962
199.3014292,203.2844132,1.060174297,0.999871624
0,0,0,0
139.76371896700002,142.7725553,0.782206448,0.928378864
340.7649104,340.7649104,0.231167305,0.319236149
