time,android.sensor.accelerometer#mean,android.sensor.accelerometer#min,android.sensor.accelerometer#max,android.sensor.accelerometer#std,android.sensor.game_rotation_vector#mean,android.sensor.game_rotation_vector#min,android.sensor.game_rotation_vector#max,android.sensor.game_rotation_vector#std,android.sensor.gyroscope#mean,android.sensor.gyroscope#min,android.sensor.gyroscope#max,android.sensor.gyroscope#std,android.sensor.gyroscope_uncalibrated#mean,android.sensor.gyroscope_uncalibrated#min,android.sensor.gyroscope_uncalibrated#max,android.sensor.gyroscope_uncalibrated#std,android.sensor.linear_acceleration#mean,android.sensor.linear_acceleration#min,android.sensor.linear_acceleration#max,android.sensor.linear_acceleration#std,android.sensor.orientation#mean,android.sensor.orientation#min,android.sensor.orientation#max,android.sensor.orientation#std,android.sensor.rotation_vector#mean,android.sensor.rotation_vector#min,android.sensor.rotation_vector#max,android.sensor.rotation_vector#std,sound#mean,sound#min,sound#max,sound#std,speed#mean,speed#min,speed#max,speed#std,target
78.0,9.81147629156,9.75889547269,9.84941095639,0.0146255073331,0.0293404701347,0.0290141820322,0.0295264272136,0.00011870091454000003,0.00165077522136,0.0,0.003533082558530001,0.000736963641413,0.0162213599906,0.0141724221314,0.0186953157594,0.000981864545925,0.0209778383629,0.00249536633909,0.052409582395400015,0.0110446872158,354.286933099,353.598334711,354.942707018,0.2456763287,0.050413140269,0.0447771592556,0.0563513538347,0.00210922613983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Still
145.0,9.93920678262,7.70743742161,17.1466311902,1.7759442967,0.999924605824,0.99990333472,0.999945876927,3.00818830563e-05,0.0363257142488,0.0116693879272,0.059387896024199985,0.0202897002181,0.0390225389502,0.0141323301437,0.0854936945061,0.01862939992,0.879220182554,0.641116952922,1.18580992175,0.278729993124,332.695576665,330.46105368400003,339.108607447,1.70581619737,0.999981228739,0.999963053709,0.999999403768,2.57033732154e-05,89.20021019100002,89.06514335,89.3352770319,0.191013358299,16.539348999999998,16.539348999999998,16.539348999999998,0.6285945939509999,Car
150.0,9.82717783631,9.80481712742,9.84926211274,0.0111991059917,0.6652154068680001,0.665212600816,0.665218212919,3.96835608801e-06,0.00152461653211,0.0,0.0026093544661,0.000712700740663,0.016301566129,0.0146449655465,0.0173739375996,0.000875953734805,0.0341102311454,0.0257091365417,0.0425113257492,0.011880941927399998,74.7526531434,73.2234934719,75.2685742895,0.413704157311,0.610456220789,0.610456220789,0.610456220789,0.0113123358202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Still
105.0,9.67303911332,7.65967372861,12.3042975935,0.8625532584289999,0.996220934012,0.993780916194,0.99866095183,0.00345070629065,0.0364403150565,0.0204630617713,0.0525122451551,0.0105527726211,0.0507587448203,0.0247315778968,0.0818868991653,0.018036503333,1.48836057989,0.575910313171,2.41587896373,0.920076869003,373.556039427,359.89724974800004,397.071741295,8.87001056741,0.998112317214,0.998112317214,0.998112317214,0.00278751762314,87.47037709940003,87.47037709940003,87.47037709940003,2.28418636125,17.739895,17.739895,17.739895,0.6285945939509999,Car
77.0,9.99346632118,8.965620961339999,10.8916451194,0.504117059576,0.563791884308,0.521799103987,0.672663744621,0.06479213186390001,0.183202097809,0.0206668572373,0.380875066732,0.0988191384778,0.265652184888,0.141208498859,0.313019733394,0.08317481522810001,1.65830750209,0.379803005713,2.7959953197000003,1.1222254603,193.20145841599998,35.864971591999996,360.56046772699995,181.729454699,0.322241915004,0.308054844036,0.378193174062,0.0256078524026,89.77073231600002,89.77073231600002,89.77073231600002,0.00638923521873,9.0,9.0,9.0,0.0,Car
559.0,9.33048171135,9.14902923812,9.52004390746,0.10385656289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.361127236499996,57.361127236499996,57.361127236499996,1.00661125342,0.0,0.0,0.0,0.0,Car
41.0,9.78977129281,9.758750712100001,9.816196875900001,0.0134885934094,0.295890065254,0.295890065254,0.295890065254,4.22409326952e-05,0.00409986525381,0.0027318724481800003,0.006579220148109999,0.00180112306541,0.0429908440802,0.0417002261146,0.0441516557365,0.00101786284223,0.027440833538,0.0231566960902,0.0319007138504,0.00364154653192,336.89150691599997,336.89150691599997,336.89150691599997,0.0472997851057,0.201198417294,0.201079137095,0.201317697493,0.00016868767514800005,65.1583690063,65.1583690063,65.1583690063,0.0,0.0,0.0,0.0,0.0,Train
20.0,9.90601147575,6.43164569701,14.2026033269,1.04468410393,0.700760401063,0.686746497181,0.718339230274,0.00709599246979,0.140902237072,0.00656673118978,0.6904138224070001,0.119666966016,0.142145208906,0.006821020658109999,0.680812351492,0.118567845364,1.00351975401,0.0410309532002,4.401256661730001,0.739564645855,253.10237864,244.98859587400003,260.128645117,3.28471059504,0.929186732937,0.914070200184,0.941615192379,0.006542373373270001,0.0,0.0,0.0,0.0,7.797239266669999,7.587349400000001,8.146695,0.304673347068,Bus
35.0,9.63971144226,8.99613405513,10.0278019439,0.25505288498100004,0.969449682672,0.965963393939,0.972935971405,0.0049303568085600005,0.0415540643649,0.008014423857229998,0.123026208034,0.0300742373795,0.06575401641,0.0396038786961,0.116849852424,0.0293209584453,0.2789968597,0.157357565789,0.374630842155,0.0848212769796,131.29409779,129.655121874,132.691329461,1.3653198198899998,0.780795203731,0.774057911284,0.7868450526749999,0.0050620043871,89.8084408315,89.8084408315,89.8084408315,0.010171437263200002,4.75,4.75,4.75,0.0,Bus
27.0,9.60210856296,9.0147864831,10.0685281258,0.267790551832,0.8965361384139999,0.894286543493,0.897685292524,0.00152896420898,0.0374507823437,0.0071743899406,0.08482030355730001,0.021390824018700003,0.0304911474402,0.0210245735814,0.039108118573199985,0.00813950524981,0.255171829308,0.158721899497,0.345489805073,0.076332631325,151.07318301700002,150.49241928200001,151.483071142,0.421325572144,0.968082050052,0.967066420758,0.96880641366,0.00047710896432,89.8157384837,89.8157384837,89.8157384837,0.0049950810864300005,0.0,0.0,0.0,0.0,Train
